workout_id,workout_name,workout_date,exercise_name,set_number,reps,weight_kg,bodyweight_kg,extra_weight_kg,time_sec
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Deadlift,6,5.0,115.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Deadlift,7,2.0,90.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Deadlift,7,4.0,120.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Deadlift,7,1.0,90.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Deadlift,7,5.0,115.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Deadlift,8,2.0,90.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Deadlift,8,4.0,120.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Deadlift,8,1.0,90.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Deadlift,8,5.0,115.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Deadlift,9,2.0,87.5,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Deadlift,9,1.0,90.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Dumbbell Chest Fly,1,10.0,0.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Dumbbell Chest Fly,1,10.0,0.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Dumbbell Chest Fly,1,10.0,0.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Dumbbell Chest Fly,1,10.0,0.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Dumbbell Chest Fly,2,10.0,0.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Dumbbell Chest Fly,2,10.0,0.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Dumbbell Chest Fly,2,10.0,0.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Dumbbell Chest Fly,2,10.0,0.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Dumbbell Chest Fly,3,10.0,0.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Dumbbell Chest Fly,3,10.0,0.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Dumbbell Chest Fly,3,10.0,0.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Dumbbell Chest Fly,3,10.0,0.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Kettlebell Swing,1,15.0,0.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Kettlebell Swing,1,15.0,0.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Kettlebell Swing,2,15.0,0.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Kettlebell Swing,2,15.0,0.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Kettlebell Swing,3,15.0,0.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Kettlebell Swing,3,15.0,0.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Overhead Cable Triceps Extension,1,15.0,0.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Overhead Cable Triceps Extension,1,15.0,0.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Overhead Cable Triceps Extension,1,15.0,0.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Overhead Cable Triceps Extension,1,15.0,0.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Overhead Cable Triceps Extension,2,15.0,0.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Overhead Cable Triceps Extension,2,15.0,0.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Overhead Cable Triceps Extension,2,15.0,0.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Overhead Cable Triceps Extension,2,15.0,0.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Overhead Cable Triceps Extension,3,15.0,0.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Overhead Cable Triceps Extension,3,15.0,0.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Overhead Cable Triceps Extension,3,15.0,0.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Overhead Cable Triceps Extension,3,15.0,0.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Tricep Pushdown With Bar,1,0.0,0.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Tricep Pushdown With Bar,1,15.0,70.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Tricep Pushdown With Bar,1,10.0,70.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Tricep Pushdown With Bar,1,15.0,70.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Tricep Pushdown With Bar,1,15.0,70.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Tricep Pushdown With Bar,2,15.0,80.0,,,
